2007 Federal Election Senate First Preferences By Polling Place for Division 140 [Event:13745 Phase:FinalResults Generated:2008-09-03T12:46:19 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,140,Parramatta,635,Carlingford North,A,18583,0,A Ticket Votes,Liberal/Nationals,1060
NSW,140,Parramatta,635,Carlingford North,A,17820,1,"COONAN, Helen",Liberal,4
NSW,140,Parramatta,635,Carlingford North,A,17821,2,"WILLIAMS, John",Nationals,0
NSW,140,Parramatta,635,Carlingford North,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,140,Parramatta,635,Carlingford North,A,17823,4,"LEES, Murray",Nationals,0
NSW,140,Parramatta,635,Carlingford North,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,140,Parramatta,635,Carlingford North,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,140,Parramatta,635,Carlingford North,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,140,Parramatta,635,Carlingford North,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,140,Parramatta,635,Carlingford North,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,140,Parramatta,635,Carlingford North,C,18582,0,C Ticket Votes,Family First,10
NSW,140,Parramatta,635,Carlingford North,C,17818,1,"MARKWELL, Andrew",Family First,2
NSW,140,Parramatta,635,Carlingford North,C,17819,2,"GRAY, Kathy",Family First,0
NSW,140,Parramatta,635,Carlingford North,D,18596,0,D Ticket Votes,Pauline,13
NSW,140,Parramatta,635,Carlingford North,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,140,Parramatta,635,Carlingford North,D,18499,2,"CARTER, John E",Pauline,0
NSW,140,Parramatta,635,Carlingford North,E,18593,0,E Ticket Votes,Climate Change Coalition,8
NSW,140,Parramatta,635,Carlingford North,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,140,Parramatta,635,Carlingford North,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,4
NSW,140,Parramatta,635,Carlingford North,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,140,Parramatta,635,Carlingford North,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,1
NSW,140,Parramatta,635,Carlingford North,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,140,Parramatta,635,Carlingford North,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,140,Parramatta,635,Carlingford North,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,140,Parramatta,635,Carlingford North,G,18581,0,G Ticket Votes,The Greens,128
NSW,140,Parramatta,635,Carlingford North,G,17433,1,"NETTLE, Kerry",The Greens,8
NSW,140,Parramatta,635,Carlingford North,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,140,Parramatta,635,Carlingford North,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,140,Parramatta,635,Carlingford North,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,140,Parramatta,635,Carlingford North,G,17441,5,"HO, Christina",The Greens,0
NSW,140,Parramatta,635,Carlingford North,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,140,Parramatta,635,Carlingford North,H,18599,0,H Ticket Votes,What Women Want (Australia),2
NSW,140,Parramatta,635,Carlingford North,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,140,Parramatta,635,Carlingford North,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,140,Parramatta,635,Carlingford North,I,18584,0,I Ticket Votes,LDP,3
NSW,140,Parramatta,635,Carlingford North,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,140,Parramatta,635,Carlingford North,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,140,Parramatta,635,Carlingford North,J,18579,0,J Ticket Votes,,2
NSW,140,Parramatta,635,Carlingford North,J,17444,1,"BRYCE, Ian R",,0
NSW,140,Parramatta,635,Carlingford North,J,17445,2,"AUGUST, John P",,0
NSW,140,Parramatta,635,Carlingford North,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,140,Parramatta,635,Carlingford North,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,140,Parramatta,635,Carlingford North,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,140,Parramatta,635,Carlingford North,L,18577,0,L Ticket Votes,Senator On-Line,2
NSW,140,Parramatta,635,Carlingford North,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,140,Parramatta,635,Carlingford North,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,140,Parramatta,635,Carlingford North,M,18592,0,M Ticket Votes,Democrats,12
NSW,140,Parramatta,635,Carlingford North,M,18288,1,"SHUMACK, Lyn",Democrats,0
NSW,140,Parramatta,635,Carlingford North,M,18289,2,"KING, David",Democrats,0
NSW,140,Parramatta,635,Carlingford North,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,140,Parramatta,635,Carlingford North,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,1
NSW,140,Parramatta,635,Carlingford North,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,140,Parramatta,635,Carlingford North,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,140,Parramatta,635,Carlingford North,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,14
NSW,140,Parramatta,635,Carlingford North,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,140,Parramatta,635,Carlingford North,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,140,Parramatta,635,Carlingford North,P,18597,0,P Ticket Votes,,0
NSW,140,Parramatta,635,Carlingford North,P,18500,1,"WOLDRING, Klaas",,0
NSW,140,Parramatta,635,Carlingford North,P,18501,2,"BRADLEY, Max",,0
NSW,140,Parramatta,635,Carlingford North,Q,18594,0,Q Ticket Votes,The Fishing Party,3
NSW,140,Parramatta,635,Carlingford North,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,140,Parramatta,635,Carlingford North,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,140,Parramatta,635,Carlingford North,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),57
NSW,140,Parramatta,635,Carlingford North,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),2
NSW,140,Parramatta,635,Carlingford North,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,140,Parramatta,635,Carlingford North,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,140,Parramatta,635,Carlingford North,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,140,Parramatta,635,Carlingford North,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,140,Parramatta,635,Carlingford North,S,18586,0,S Ticket Votes,One Nation,3
NSW,140,Parramatta,635,Carlingford North,S,17828,1,"NEWSON, Judith",One Nation,1
NSW,140,Parramatta,635,Carlingford North,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,140,Parramatta,635,Carlingford North,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,140,Parramatta,635,Carlingford North,S,17830,4,"FREW, Andy",One Nation,0
NSW,140,Parramatta,635,Carlingford North,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,140,Parramatta,635,Carlingford North,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,140,Parramatta,635,Carlingford North,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,140,Parramatta,635,Carlingford North,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,11
NSW,140,Parramatta,635,Carlingford North,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,2
NSW,140,Parramatta,635,Carlingford North,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,140,Parramatta,635,Carlingford North,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,140,Parramatta,635,Carlingford North,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,140,Parramatta,635,Carlingford North,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,140,Parramatta,635,Carlingford North,V,18576,0,V Ticket Votes,,0
NSW,140,Parramatta,635,Carlingford North,V,17217,1,"TINYOW, Walter",,0
NSW,140,Parramatta,635,Carlingford North,V,17218,2,"CHAN, Maria",,0
NSW,140,Parramatta,635,Carlingford North,W,18580,0,W Ticket Votes,Labor,897
NSW,140,Parramatta,635,Carlingford North,W,17476,1,"ARBIB, Mark",Labor,4
NSW,140,Parramatta,635,Carlingford North,W,17477,2,"CAMERON, Doug",Labor,0
NSW,140,Parramatta,635,Carlingford North,W,17478,3,"STEPHENS, Ursula",Labor,1
NSW,140,Parramatta,635,Carlingford North,W,17479,4,"ESBER, Pierre",Labor,1
NSW,140,Parramatta,635,Carlingford North,W,17481,5,"SEATON, Fiona",Labor,0
NSW,140,Parramatta,635,Carlingford North,W,17482,6,"JAMES, Pauline",Labor,0
NSW,140,Parramatta,635,Carlingford North,X,18588,0,X Ticket Votes,Socialist Equality Party,0
NSW,140,Parramatta,635,Carlingford North,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,140,Parramatta,635,Carlingford North,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,140,Parramatta,635,Carlingford North,Y,18598,0,Y Ticket Votes,Carers Alliance,14
NSW,140,Parramatta,635,Carlingford North,Y,18503,1,"CARTER, Marylou",Carers Alliance,3
NSW,140,Parramatta,635,Carlingford North,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,140,Parramatta,635,Carlingford North,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,140,Parramatta,635,Carlingford North,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,140,Parramatta,635,Carlingford North,UG,18493,1,"NADAS, Paula",Independent,1
NSW,140,Parramatta,635,Carlingford North,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,140,Parramatta,635,Carlingford North,UG,17837,3,"NERO, Silvana",Independent,0
NSW,140,Parramatta,635,Carlingford North,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,140,Parramatta,635,Carlingford North,ZZ,0,99,INFORMAL,,30
NSW,140,Parramatta,636,Cumberland High,A,18583,0,A Ticket Votes,Liberal/Nationals,1049
NSW,140,Parramatta,636,Cumberland High,A,17820,1,"COONAN, Helen",Liberal,6
NSW,140,Parramatta,636,Cumberland High,A,17821,2,"WILLIAMS, John",Nationals,1
NSW,140,Parramatta,636,Cumberland High,A,17822,3,"PAYNE, Marise",Liberal,1
NSW,140,Parramatta,636,Cumberland High,A,17823,4,"LEES, Murray",Nationals,0
