2019 Federal Election Senate First Preferences By Polling Place for Division 102 [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:57 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
ACT,102,Fenner,8805,Belconnen (Fenner),A,33704,0,A Ticket Votes,Liberal,300
ACT,102,Fenner,8805,Belconnen (Fenner),A,32766,1,"SESELJA, Zed",Liberal,29
ACT,102,Fenner,8805,Belconnen (Fenner),A,32779,2,"GUNNING, Robert",Liberal,14
ACT,102,Fenner,8805,Belconnen (Fenner),B,33700,0,B Ticket Votes,The Greens,254
ACT,102,Fenner,8805,Belconnen (Fenner),B,32210,1,"KYBURZ, Penny",The Greens,86
ACT,102,Fenner,8805,Belconnen (Fenner),B,32212,2,"DAVIDSON, Emma",The Greens,20
ACT,102,Fenner,8805,Belconnen (Fenner),C,33706,0,C Ticket Votes,,24
ACT,102,Fenner,8805,Belconnen (Fenner),C,33572,1,"PESEC, Anthony",,52
ACT,102,Fenner,8805,Belconnen (Fenner),C,33576,2,"KENT, Gary",,0
ACT,102,Fenner,8805,Belconnen (Fenner),D,33705,0,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,9
ACT,102,Fenner,8805,Belconnen (Fenner),D,33574,1,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,2
ACT,102,Fenner,8805,Belconnen (Fenner),D,33584,2,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
ACT,102,Fenner,8805,Belconnen (Fenner),E,33702,0,E Ticket Votes,United Australia Party,26
ACT,102,Fenner,8805,Belconnen (Fenner),E,32246,1,"WALTER, Peter",United Australia Party,1
ACT,102,Fenner,8805,Belconnen (Fenner),E,32248,2,"HODGSON, Rebecah Elen",United Australia Party,0
ACT,102,Fenner,8805,Belconnen (Fenner),F,33703,0,F Ticket Votes,Sustainable Australia,22
ACT,102,Fenner,8805,Belconnen (Fenner),F,32254,1,"HAYDON, John",Sustainable Australia,6
ACT,102,Fenner,8805,Belconnen (Fenner),F,32256,2,"ANGEL, Joy",Sustainable Australia,2
ACT,102,Fenner,8805,Belconnen (Fenner),G,33701,0,G Ticket Votes,Australian Labor Party,488
ACT,102,Fenner,8805,Belconnen (Fenner),G,32588,1,"GALLAGHER, Katy",Australian Labor Party,123
ACT,102,Fenner,8805,Belconnen (Fenner),G,32593,2,"WAITES, Nancy",Australian Labor Party,7
ACT,102,Fenner,8805,Belconnen (Fenner),UG,33618,1,"HOUSTON, Nick",Independent,5
ACT,102,Fenner,8805,Belconnen (Fenner),UG,32090,2,"COWTON, Gary",Independent,1
ACT,102,Fenner,8805,Belconnen (Fenner),UG,33651,3,"KIM, David",Christian Democratic Party (Fred Nile Group),7
ACT,102,Fenner,8805,Belconnen (Fenner),ZZ,0,99,INFORMAL,,39
ACT,102,Fenner,8807,Charnwood,A,33704,0,A Ticket Votes,Liberal,519
ACT,102,Fenner,8807,Charnwood,A,32766,1,"SESELJA, Zed",Liberal,58
ACT,102,Fenner,8807,Charnwood,A,32779,2,"GUNNING, Robert",Liberal,7
ACT,102,Fenner,8807,Charnwood,B,33700,0,B Ticket Votes,The Greens,181
ACT,102,Fenner,8807,Charnwood,B,32210,1,"KYBURZ, Penny",The Greens,54
ACT,102,Fenner,8807,Charnwood,B,32212,2,"DAVIDSON, Emma",The Greens,7
ACT,102,Fenner,8807,Charnwood,C,33706,0,C Ticket Votes,,43
ACT,102,Fenner,8807,Charnwood,C,33572,1,"PESEC, Anthony",,57
ACT,102,Fenner,8807,Charnwood,C,33576,2,"KENT, Gary",,1
ACT,102,Fenner,8807,Charnwood,D,33705,0,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,15
ACT,102,Fenner,8807,Charnwood,D,33574,1,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,7
ACT,102,Fenner,8807,Charnwood,D,33584,2,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
ACT,102,Fenner,8807,Charnwood,E,33702,0,E Ticket Votes,United Australia Party,53
ACT,102,Fenner,8807,Charnwood,E,32246,1,"WALTER, Peter",United Australia Party,5
ACT,102,Fenner,8807,Charnwood,E,32248,2,"HODGSON, Rebecah Elen",United Australia Party,1
ACT,102,Fenner,8807,Charnwood,F,33703,0,F Ticket Votes,Sustainable Australia,20
ACT,102,Fenner,8807,Charnwood,F,32254,1,"HAYDON, John",Sustainable Australia,2
ACT,102,Fenner,8807,Charnwood,F,32256,2,"ANGEL, Joy",Sustainable Australia,0
ACT,102,Fenner,8807,Charnwood,G,33701,0,G Ticket Votes,Australian Labor Party,604
ACT,102,Fenner,8807,Charnwood,G,32588,1,"GALLAGHER, Katy",Australian Labor Party,118
ACT,102,Fenner,8807,Charnwood,G,32593,2,"WAITES, Nancy",Australian Labor Party,19
ACT,102,Fenner,8807,Charnwood,UG,33618,1,"HOUSTON, Nick",Independent,3
ACT,102,Fenner,8807,Charnwood,UG,32090,2,"COWTON, Gary",Independent,0
ACT,102,Fenner,8807,Charnwood,UG,33651,3,"KIM, David",Christian Democratic Party (Fred Nile Group),10
ACT,102,Fenner,8807,Charnwood,ZZ,0,99,INFORMAL,,69
ACT,102,Fenner,8812,Evatt,A,33704,0,A Ticket Votes,Liberal,570
ACT,102,Fenner,8812,Evatt,A,32766,1,"SESELJA, Zed",Liberal,68
ACT,102,Fenner,8812,Evatt,A,32779,2,"GUNNING, Robert",Liberal,12
ACT,102,Fenner,8812,Evatt,B,33700,0,B Ticket Votes,The Greens,271
ACT,102,Fenner,8812,Evatt,B,32210,1,"KYBURZ, Penny",The Greens,87
ACT,102,Fenner,8812,Evatt,B,32212,2,"DAVIDSON, Emma",The Greens,18
ACT,102,Fenner,8812,Evatt,C,33706,0,C Ticket Votes,,17
ACT,102,Fenner,8812,Evatt,C,33572,1,"PESEC, Anthony",,58
ACT,102,Fenner,8812,Evatt,C,33576,2,"KENT, Gary",,1
ACT,102,Fenner,8812,Evatt,D,33705,0,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,16
