2022 Federal Election Senate First Preferences By Polling Place for Division 307 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:48 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NT,307,Solomon,8703,Anula,A,37924,0,A Above-the-line Votes,NT CLP,127
NT,307,Solomon,8703,Anula,A,36964,1,"PRICE, Jacinta Nampijinpa",NT CLP,17
NT,307,Solomon,8703,Anula,A,36970,2,"CIVITARESE, Kris",NT CLP,0
NT,307,Solomon,8703,Anula,B,37926,0,B Above-the-line Votes,Liberal Democrats,40
NT,307,Solomon,8703,Anula,B,37378,1,"McMAHON, Sam",Liberal Democrats,3
NT,307,Solomon,8703,Anula,B,37380,2,"HANSEN, Jed",Liberal Democrats,2
NT,307,Solomon,8703,Anula,C,37927,0,C Above-the-line Votes,A.L.P.,162
NT,307,Solomon,8703,Anula,C,37176,1,"McCARTHY, Malarndirri",A.L.P.,16
NT,307,Solomon,8703,Anula,C,37188,2,"GANLEY, Kate",A.L.P.,5
NT,307,Solomon,8703,Anula,D,37925,0,D Above-the-line Votes,Legalise Cannabis Australia,23
NT,307,Solomon,8703,Anula,D,37356,1,"LAWRENCE, Lance",Legalise Cannabis Australia,3
NT,307,Solomon,8703,Anula,D,37362,2,"HIBBERT, Kelly-Anne",Legalise Cannabis Australia,0
NT,307,Solomon,8703,Anula,E,37929,0,E Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,10
NT,307,Solomon,8703,Anula,E,37654,1,"WHYTE, Lamaan",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
NT,307,Solomon,8703,Anula,E,37661,2,"BELCHER, Richard",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NT,307,Solomon,8703,Anula,F,37928,0,F Above-the-line Votes,The Great Australian Party,26
NT,307,Solomon,8703,Anula,F,37390,1,"ARRIGO, Steve",The Great Australian Party,5
NT,307,Solomon,8703,Anula,F,37407,2,"MARCUS, Angela",The Great Australian Party,0
NT,307,Solomon,8703,Anula,G,37923,0,G Above-the-line Votes,Citizens Party,7
NT,307,Solomon,8703,Anula,G,36523,1,"CAMPBELL, Trudy",Citizens Party,1
NT,307,Solomon,8703,Anula,G,36528,2,"FLYNN, Peter",Citizens Party,0
NT,307,Solomon,8703,Anula,H,37922,0,H Above-the-line Votes,The Greens,55
NT,307,Solomon,8703,Anula,H,36509,1,"ANLEZARK, Jane",The Greens,6
NT,307,Solomon,8703,Anula,H,36555,2,"STOKES, Dianne",The Greens,2
NT,307,Solomon,8703,Anula,UG,37217,1,"RAJWIN, Raj",United Australia Party,6
NT,307,Solomon,8703,Anula,ZZ,0,99,INFORMAL,,11
NT,307,Solomon,8705,Berrimah,A,37924,0,A Above-the-line Votes,NT CLP,67
NT,307,Solomon,8705,Berrimah,A,36964,1,"PRICE, Jacinta Nampijinpa",NT CLP,4
NT,307,Solomon,8705,Berrimah,A,36970,2,"CIVITARESE, Kris",NT CLP,0
NT,307,Solomon,8705,Berrimah,B,37926,0,B Above-the-line Votes,Liberal Democrats,32
NT,307,Solomon,8705,Berrimah,B,37378,1,"McMAHON, Sam",Liberal Democrats,2
NT,307,Solomon,8705,Berrimah,B,37380,2,"HANSEN, Jed",Liberal Democrats,0
NT,307,Solomon,8705,Berrimah,C,37927,0,C Above-the-line Votes,A.L.P.,50
NT,307,Solomon,8705,Berrimah,C,37176,1,"McCARTHY, Malarndirri",A.L.P.,4
NT,307,Solomon,8705,Berrimah,C,37188,2,"GANLEY, Kate",A.L.P.,1
NT,307,Solomon,8705,Berrimah,D,37925,0,D Above-the-line Votes,Legalise Cannabis Australia,14
NT,307,Solomon,8705,Berrimah,D,37356,1,"LAWRENCE, Lance",Legalise Cannabis Australia,4
NT,307,Solomon,8705,Berrimah,D,37362,2,"HIBBERT, Kelly-Anne",Legalise Cannabis Australia,0
NT,307,Solomon,8705,Berrimah,E,37929,0,E Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,5
NT,307,Solomon,8705,Berrimah,E,37654,1,"WHYTE, Lamaan",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NT,307,Solomon,8705,Berrimah,E,37661,2,"BELCHER, Richard",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
