State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
SA,6,1009578,144226,1,44, K,JACKSON,Neil,27,27,27,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,45, L,LARSSON,Steve,11357,11357,11357,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,46, L,BORSAK,Robert,68,68,68,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,47, M,WALKER,Jeanie,6867,6867,6867,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,48, M,CASTRIQUE,Andrew,108,108,108,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,49, N,CLARKE,Renfrey,973,973,973,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,50, N,RATCLIFFE,Ruth,66,66,66,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,51, O,SHARRAD,Scott James,912,912,912,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,52, O,CLARKE,Moira,41,41,41,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,53, P,KERRY,Nick,5541,5541,5541,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,54, P,CLARK,Megan,43,43,43,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,55, Q,REID,Ari,16583,16583,16583,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,56, Q,VIRGO,Jason,237,237,237,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,57, R,DAY,Bob,40984,40984,40984,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,58, R,COLE,Andrew,118,118,118,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,59, R,HENNESSEY,Thea,125,125,125,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,60,UG,DRUMMOND,Michelle,839,839,839,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,1001, ,Exhausted,,0,0,0,1.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,1,1002, ,Gain/Loss,,0,0,0,0.000000000000000000000000000,,,0,"GALLACHER ,A has 239569 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.624210841725400. 383795 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,19, A,ASHBY,Leon Neville,16,9,4630,0.624210841725400000000000000,,,0,""
SA,6,1009578,144226,2,20, A,ASHBY,Nathan,1,0,51,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,21, B,ALDRIDGE,Mark,10,6,2157,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,22, B,COCHRANE,Christopher,1,0,35,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,23, C,GALLACHER,Alex,-383795,-239569,144226,0.624210841725400000000000000,Elected,,1,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,24, C,McEWEN,Anne,383287,239251,240743,0.624210841725400000000000000,Elected,True,3,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,25, C,WORTLEY,Dana,151,94,1384,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,26, D,FISHER,Mary Jo,0,0,373841,0.000000000000000000000000000,Elected,,2,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,27, D,EDWARDS,Sean,19,11,678,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,28, D,FAWCETT,David,8,4,1606,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,29, D,SALU,Peter,3,1,423,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
