State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
WA,6,1234219,176318,106,56, O,EVANS,Chris,0,0,176318,0.000000000000000000000000000,Elected,,2,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,57, O,STERLE,Glenn,0,0,176318,0.000000000000000000000000000,Elected,,4,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,58, O,PERDON,Wendy,20,20,13771,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,59, O,MacFARLANE,Peter,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,60, P,WALMSLEY,Mark,1,1,14551,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,61, P,DIXON,Mark,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,62, Q,YOUNG,Trevor,6,6,23061,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,63, Q,DUNJEY,Lachlan,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,64, R,PEAKE,Paul,3,3,7494,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,65, R,PEAKE,Christine,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,66, S,GILMORE,Julie,4,4,1682,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,67, S,POLAIN,Aileen,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,68, T,MAYER,Daniel J,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,69, T,HOFFMAN,Keturah,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,70, U,GEORGATOS,Gerry,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,71, U,HAYWARD,Bill,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,72, U,MACKAY,Marianne,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,73, U,MENKENS,Lara,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,74, V,COWANS,Scott,5,5,1681,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,75, V,GOODLAD,John,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,76, V,VERSTEEGEN,James,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,77,UG,STEINECK,Rosemary,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,1001, ,Exhausted,,3,3,31,1.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,106,1002, ,Gain/Loss,,0,0,71,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.666551304818153 will be distributed in count # 107 after the exclusion of 1 candidate(s). Preferences received at count(s) 2,74,91."
WA,6,1234219,176318,107,23, A,FELS,Anthony,1,0,3576,0.666551304818153000000000000,,,0,""
WA,6,1234219,176318,107,24, A,CHANDRA,Felly,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,25, B,EMBRY,Paddy,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,26, B,FINNEGAN,Juanita,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,27, C,SIEWERT,Rachel,2,1,172570,0.666551304818153000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,28, C,MUIR,Kado,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,29, C,CUNNINGHAM,Christine,-7,-3,5,0.666551304818153000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,30, D,McCOURT,John,2,1,42418,0.666551304818153000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
