2016 Federal Election Senate First Preferences By Polling Place for Division 179 [Event:20499 Phase:FinalResults Generated:2017-05-16T15:44:55 Cycle:1c16bc24-2305-4e98-b136-89dead4ad909 Created:2016-09-05T17:43:14 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
SA,179,Adelaide,6648,Adelaide,M,28860,2,"STEPHEN, Joseph Kelton",Christian Democratic Party (Fred Nile Group),0
SA,179,Adelaide,6648,Adelaide,N,29645,0,N Ticket Votes,Family First,5
SA,179,Adelaide,6648,Adelaide,N,28842,1,"DAY, Bob",Family First,1
SA,179,Adelaide,6648,Adelaide,N,28845,2,"GICHUHI, Lucy",Family First,0
SA,179,Adelaide,6648,Adelaide,O,29646,0,O Ticket Votes,Pauline Hanson's One Nation,4
SA,179,Adelaide,6648,Adelaide,O,28851,1,"BURGESS, Steven David",Pauline Hanson's One Nation,0
SA,179,Adelaide,6648,Adelaide,O,28853,2,"NICOLIS, Angelina",Pauline Hanson's One Nation,0
SA,179,Adelaide,6648,Adelaide,P,29644,0,P Ticket Votes,Marriage Equality,5
SA,179,Adelaide,6648,Adelaide,P,29586,1,"TUAZON-McCHEYNE, Adrian",Marriage Equality,0
SA,179,Adelaide,6648,Adelaide,P,29588,2,"BOND, Alex",Marriage Equality,0
SA,179,Adelaide,6648,Adelaide,Q,29649,0,Q Ticket Votes,"Shooters, Fishers and Farmers",2
SA,179,Adelaide,6648,Adelaide,Q,28866,1,"HAHN, John","Shooters, Fishers and Farmers",0
SA,179,Adelaide,6648,Adelaide,Q,28868,2,"CARTER, Nick","Shooters, Fishers and Farmers",0
SA,179,Adelaide,6648,Adelaide,R,29656,0,R Ticket Votes,Marijuana (HEMP) Party/Australian Sex Party,13
SA,179,Adelaide,6648,Adelaide,R,29553,1,"PARKER, Ryan Douglas",Marijuana (HEMP) Party,1
SA,179,Adelaide,6648,Adelaide,R,29556,2,"SAUNDERS, Margaret",Australian Sex Party,1
SA,179,Adelaide,6648,Adelaide,S,29648,0,S Ticket Votes,Australian Liberty Alliance,0
SA,179,Adelaide,6648,Adelaide,S,28861,1,"MARSH, Wanda Lee",Australian Liberty Alliance,0
SA,179,Adelaide,6648,Adelaide,S,28862,2,"HORWOOD, Andrew",Australian Liberty Alliance,0
SA,179,Adelaide,6648,Adelaide,T,29661,0,T Ticket Votes,Derryn Hinch's Justice Party,0
SA,179,Adelaide,6648,Adelaide,T,29592,1,"GROSSER, Lynn-Marie",Derryn Hinch's Justice Party,0
SA,179,Adelaide,6648,Adelaide,T,29593,2,"THOMAS, Colin",Derryn Hinch's Justice Party,0
SA,179,Adelaide,6648,Adelaide,U,29641,0,U Ticket Votes,Animal Justice Party,4
SA,179,Adelaide,6648,Adelaide,U,28421,1,"NOBLE, Tania",Animal Justice Party,0
SA,179,Adelaide,6648,Adelaide,U,28423,2,"BREAGAN, Emma",Animal Justice Party,0
SA,179,Adelaide,6648,Adelaide,V,29659,0,V Ticket Votes,Voluntary Euthanasia Party,2
SA,179,Adelaide,6648,Adelaide,V,29561,1,"KNIGHT, Jessica",Voluntary Euthanasia Party,1
SA,179,Adelaide,6648,Adelaide,V,29565,2,"BUCKLEY, Kym",Voluntary Euthanasia Party,0
SA,179,Adelaide,6648,Adelaide,W,29640,0,W Ticket Votes,Citizens Electoral Council,0
SA,179,Adelaide,6648,Adelaide,W,28418,1,"KOZLOW, Alex",Citizens Electoral Council,0
SA,179,Adelaide,6648,Adelaide,W,28419,2,"SIEBERT, Paul",Citizens Electoral Council,0
SA,179,Adelaide,6648,Adelaide,UG,29551,1,"WATERS, Ron",Antipaedophile Party,0
SA,179,Adelaide,6648,Adelaide,UG,29555,2,"COCHRANE, Christopher Mark",Independent,0
SA,179,Adelaide,6648,Adelaide,UG,29594,3,"RICHARDS, Adam",Independent,1
SA,179,Adelaide,6648,Adelaide,UG,28869,4,"ALI, Mohammad",Independent,0
SA,179,Adelaide,6648,Adelaide,UG,29547,5,"SADDLER, Dave",Independent,0
SA,179,Adelaide,6648,Adelaide,UG,28414,6,"DAVEY, Malcolm Lloyd",Independent,0
SA,179,Adelaide,6648,Adelaide,ZZ,0,99,INFORMAL,,15
SA,179,Adelaide,6649,Adelaide East,A,29643,0,A Ticket Votes,Mature Australia,1
SA,179,Adelaide,6649,Adelaide East,A,28433,1,"BOTHE, Darryl",Mature Australia,0
SA,179,Adelaide,6649,Adelaide East,A,28436,2,"DENNY, Lyndal",Mature Australia,0
SA,179,Adelaide,6649,Adelaide East,B,29655,0,B Ticket Votes,Australian Labor Party,343
SA,179,Adelaide,6649,Adelaide East,B,29506,1,"WONG, Penny",Australian Labor Party,72
SA,179,Adelaide,6649,Adelaide East,B,29508,2,"FARRELL, Don",Australian Labor Party,2
