State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,1006809,143830,1,20, A,ALDRIDGE,Mark,6145,6145,6145,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,21, A,DWYER,David,33,33,33,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,22, B,PATERSON,Brian M,549,549,549,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,23, B,BROOK,A,28,28,28,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,24, C,COLANGELO,Bruno,1441,1441,1441,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,25, C,HUNT,Noelene,45,45,45,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,26, D,ARMSTRONG,Neil,5749,5749,5749,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,27, D,TIPPINS,Paul Anthony,22,22,22,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,28, E,HAHN,John,3954,3954,3954,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,29, E,BORUN,Basil C P,19,19,19,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,30, F,HANSON-YOUNG,Sarah,64639,64639,64639,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,31, F,MORTIER,Nikki,302,302,302,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,32, F,RIGNEY,Matt,381,381,381,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,33, G,HOWARD,Rob,3595,3595,3595,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,34, G,CUTHBERTSON,Mark,37,37,37,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,35, H,HARDY,Garry N J,9303,9303,9303,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,36, H,McCABE,David,40,40,40,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,37, I,BERNARDI,Cory,353151,353151,353151,1,Elected,#,2,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,38, I,BIRMINGHAM,Simon,653,653,653,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,39, I,CHAPMAN,Grant,1039,1039,1039,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,40, I,KOURTESIS,Maria,394,394,394,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,41, J,NEUMANN,Emma,4093,4093,4093,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,42, J,McINTOSH,Morag,21,21,21,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,43, K,FARRELL,Don,354873,354873,354873,1,Elected,#,1,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,44, K,WONG,Penny,2796,2796,2796,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,45, K,PERRY,Cathy,946,946,946,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,46, L,ENDEAN,Colin Andrew,3079,3079,3079,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,47, L,KUBILIUS,Vidas,52,52,52,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,48, M,VINCENT,Martin,266,266,266,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,49, M,SIEBERT,Paul G,1,1,1,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,50, N,CLARK,Joel Michael,600,600,600,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,51, N,CLARKE,Courtney,10,10,10,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,52, O,CLARKE,Renfrey,748,748,748,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,53, O,LAZAROU,Liah,22,22,22,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,54, P,RUSSELL,Ruth,8758,8758,8758,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,55, P,BAUMANN,Max,57,57,57,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,56, P,WAY,Richard,93,93,93,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,57, Q,BATES,Tony,28892,28892,28892,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,58, Q,TURNBULL,Toni,161,161,161,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
SA ,6,1006809,143830,1,59, Q,GIBSON,Colin,61,61,61,1,, ,0,"FARRELL, D has 211043 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.59470008. 354873 papers are involved from count number(s) 1"
