2013 Federal Election Senate First Preferences By Polling Place for Division 237 [Event:17496 Phase:FinalResults Generated:2014-10-28T11:24:33 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,237,Cowan,7564,Ballajura,A,25225,0,A Ticket Votes,Smokers Rights,20
WA,237,Cowan,7564,Ballajura,A,24717,1,"KATZ-BARBER, Max",Smokers Rights,1
WA,237,Cowan,7564,Ballajura,A,24719,2,"DI RADO, Daniel",Smokers Rights,0
WA,237,Cowan,7564,Ballajura,B,25223,0,B Ticket Votes,Liberal Democrats,50
WA,237,Cowan,7564,Ballajura,B,24701,1,"FRYAR, Jim",Liberal Democrats,0
WA,237,Cowan,7564,Ballajura,B,24705,2,"HAMILTON, Neil",Liberal Democrats,0
WA,237,Cowan,7564,Ballajura,C,25219,0,C Ticket Votes,Australian Christians,27
WA,237,Cowan,7564,Ballajura,C,24264,1,"van BURGEL, Jamie",Australian Christians,1
WA,237,Cowan,7564,Ballajura,C,24266,2,"MOSELEY, Justin",Australian Christians,0
WA,237,Cowan,7564,Ballajura,D,25230,0,D Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,30
WA,237,Cowan,7564,Ballajura,D,25020,1,"BALDERSTONE, Michael",Help End Marijuana Prohibition (HEMP) Party,2
WA,237,Cowan,7564,Ballajura,D,25023,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,237,Cowan,7564,Ballajura,E,25218,0,E Ticket Votes,Socialist Equality Party,0
WA,237,Cowan,7564,Ballajura,E,24208,1,"SYMONDS, Peter",Socialist Equality Party,1
WA,237,Cowan,7564,Ballajura,E,24214,2,"LOPEZ, Joe",Socialist Equality Party,0
WA,237,Cowan,7564,Ballajura,F,25209,0,F Ticket Votes,Palmer United Party,113
WA,237,Cowan,7564,Ballajura,F,23607,1,"WANG, Zhenya",Palmer United Party,4
WA,237,Cowan,7564,Ballajura,F,23609,2,"TERBLANCHE, Chamonix",Palmer United Party,1
WA,237,Cowan,7564,Ballajura,G,25206,0,G Ticket Votes,Shooters and Fishers,21
WA,237,Cowan,7564,Ballajura,G,23229,1,"BOW, Murray",Shooters and Fishers,1
WA,237,Cowan,7564,Ballajura,G,23230,2,"PARKES, John David",Shooters and Fishers,0
WA,237,Cowan,7564,Ballajura,H,25226,0,H Ticket Votes,Australian Voice Party,3
WA,237,Cowan,7564,Ballajura,H,24728,1,"PARKES, Brian W",Australian Voice Party,0
WA,237,Cowan,7564,Ballajura,H,24732,2,"BUTLER, Sean",Australian Voice Party,0
WA,237,Cowan,7564,Ballajura,I,25228,0,I Ticket Votes,Sex Party,26
WA,237,Cowan,7564,Ballajura,I,24792,1,"PALMER, Steve",Sex Party,4
WA,237,Cowan,7564,Ballajura,I,24795,2,"COLEMAN, Mark",Sex Party,0
WA,237,Cowan,7564,Ballajura,J,25210,0,J Ticket Votes,Secular Party of Australia,1
WA,237,Cowan,7564,Ballajura,J,23705,1,"ATKINS, Edward",Secular Party of Australia,1
WA,237,Cowan,7564,Ballajura,J,23707,2,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,237,Cowan,7564,Ballajura,K,25213,0,K Ticket Votes,Australian Independents,3
WA,237,Cowan,7564,Ballajura,K,24132,1,"HIGGINS, Daryl",Australian Independents,0
WA,237,Cowan,7564,Ballajura,K,24138,2,"IRVING, Patricia",Australian Independents,0
WA,237,Cowan,7564,Ballajura,L,25214,0,L Ticket Votes,The Wikileaks Party,13
WA,237,Cowan,7564,Ballajura,L,23870,1,"GEORGATOS, Gerry",The Wikileaks Party,1
WA,237,Cowan,7564,Ballajura,L,23879,2,"RAJAN, Suresh",The Wikileaks Party,0
WA,237,Cowan,7564,Ballajura,M,25221,0,M Ticket Votes,Katter's Australian Party,2
WA,237,Cowan,7564,Ballajura,M,24351,1,"FELS, Anthony James",Katter's Australian Party,1
WA,237,Cowan,7564,Ballajura,M,24356,2,"HODDINOTT, Susan",Katter's Australian Party,0
WA,237,Cowan,7564,Ballajura,N,25220,0,N Ticket Votes,Family First Party,13
WA,237,Cowan,7564,Ballajura,N,24321,1,"ROSE, Linda",Family First Party,0
WA,237,Cowan,7564,Ballajura,N,24327,2,"HENG, Henry",Family First Party,0
WA,237,Cowan,7564,Ballajura,O,25222,0,O Ticket Votes,No Carbon Tax Climate Sceptics,4
WA,237,Cowan,7564,Ballajura,O,24487,1,"BYASS, Adrian",No Carbon Tax Climate Sceptics,0
WA,237,Cowan,7564,Ballajura,O,24488,2,"DEWAR, Heather",No Carbon Tax Climate Sceptics,0
WA,237,Cowan,7564,Ballajura,P,25207,0,P Ticket Votes,Stable Population Party,1
WA,237,Cowan,7564,Ballajura,P,23433,1,"STRACHAN, Peter",Stable Population Party,0
WA,237,Cowan,7564,Ballajura,P,23435,2,"BANKS, John",Stable Population Party,0
WA,237,Cowan,7564,Ballajura,Q,25224,0,Q Ticket Votes,Stop The Greens,3
WA,237,Cowan,7564,Ballajura,Q,24710,1,"FISHLOCK, David",Stop The Greens,0
WA,237,Cowan,7564,Ballajura,Q,24712,2,"KINNINMONT, Kim Alexander",Stop The Greens,0
WA,237,Cowan,7564,Ballajura,R,25231,0,R Ticket Votes,Australian Democrats,4
WA,237,Cowan,7564,Ballajura,R,25026,1,"FERNANDEZ, Chris",Australian Democrats,1
WA,237,Cowan,7564,Ballajura,R,25027,2,"THIEL, William",Australian Democrats,0
WA,237,Cowan,7564,Ballajura,S,25215,0,S Ticket Votes,The Greens (WA),98
WA,237,Cowan,7564,Ballajura,S,23967,1,"LUDLAM, Scott",The Greens (WA),11
WA,237,Cowan,7564,Ballajura,S,23975,2,"DAVIS, Kate",The Greens (WA),0
WA,237,Cowan,7564,Ballajura,S,23980,3,"DUNCAN, Adam Nathan",The Greens (WA),0
WA,237,Cowan,7564,Ballajura,T,25205,0,T Ticket Votes,Animal Justice Party,11
WA,237,Cowan,7564,Ballajura,T,23179,1,"LOVE, Katrina",Animal Justice Party,2
WA,237,Cowan,7564,Ballajura,T,23180,2,"SUTTON, Alicia",Animal Justice Party,0
WA,237,Cowan,7564,Ballajura,U,25217,0,U Ticket Votes,The Nationals,34
WA,237,Cowan,7564,Ballajura,U,24254,1,"WIRRPANDA, David",The Nationals,1
WA,237,Cowan,7564,Ballajura,U,24258,2,"EAGLES, David",The Nationals,0
