State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,967738,138249,1,45, J,TURNBULL,Toni,219,219,219,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,46, K,VENUS,John,3765,3765,3765,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,47, K,SIPPO,Julie,39,39,39,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,48, K,WILLCOURT,Ian,39,39,39,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,49, L,McLAREN,John,22392,22392,22392,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,50, L,RUSSELL,Ruth,177,177,177,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,51, L,FRANKS,Tammy,152,152,152,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,52, L,SCOTT,Jenny,397,397,397,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,53, M,YENGI,Ben,874,874,874,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,54, M,HUTTON,Alan,16,16,16,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,55, N,McSHANE,Nicholas,3726,3726,3726,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,56, N,KAY,Jarrad,45,45,45,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,57, O,HUNT,Rita,2782,2782,2782,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,58, O,BARONS,Rachael,18,18,18,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
