2022 Federal Election Senate First Preferences By Polling Place for Division 242 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:45 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,242,Moore,7565,Carine,A,38243,0,A Above-the-line Votes,The Greens (WA),216
WA,242,Moore,7565,Carine,A,36622,1,"COX, Dorinda",The Greens (WA),7
WA,242,Moore,7565,Carine,A,36625,2,"CLARKE, River",The Greens (WA),0
WA,242,Moore,7565,Carine,A,36629,3,"COLLINS, Simone",The Greens (WA),1
WA,242,Moore,7565,Carine,A,36630,4,"CLARKE, Donald",The Greens (WA),0
WA,242,Moore,7565,Carine,A,36633,5,"CAHILL, Jordan",The Greens (WA),1
WA,242,Moore,7565,Carine,A,36636,6,"WALLACE, Alex",The Greens (WA),0
WA,242,Moore,7565,Carine,B,38242,0,B Above-the-line Votes,Australian Christians,22
WA,242,Moore,7565,Carine,B,36605,1,"CRICHTON, Mike",Australian Christians,3
WA,242,Moore,7565,Carine,B,36611,2,"GROENEWALD, Maryka",Australian Christians,0
WA,242,Moore,7565,Carine,C,38244,0,C Above-the-line Votes,United Australia Party,25
WA,242,Moore,7565,Carine,C,36912,1,"McDONALD, James",United Australia Party,3
WA,242,Moore,7565,Carine,C,36921,2,"FORSTER, Rob",United Australia Party,0
WA,242,Moore,7565,Carine,D,38251,0,D Above-the-line Votes,Australian Labor Party,343
WA,242,Moore,7565,Carine,D,37101,1,"LINES, Sue",Australian Labor Party,11
WA,242,Moore,7565,Carine,D,37108,2,"STERLE, Glenn",Australian Labor Party,0
WA,242,Moore,7565,Carine,D,37114,3,"PAYMAN, Fatima",Australian Labor Party,3
WA,242,Moore,7565,Carine,D,37116,4,"HELPS, Vicki",Australian Labor Party,4
WA,242,Moore,7565,Carine,E,38260,0,E Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,4
WA,242,Moore,7565,Carine,E,37738,1,"OBORN, Karen",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
WA,242,Moore,7565,Carine,E,37740,2,"OOSTRYCK, Ryan",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
WA,242,Moore,7565,Carine,F,38256,0,F Above-the-line Votes,Australian Democrats,2
WA,242,Moore,7565,Carine,F,37461,1,"MITCHELL, Elana",Australian Democrats,1
WA,242,Moore,7565,Carine,F,37462,2,"SIMSON, Simon",Australian Democrats,0
WA,242,Moore,7565,Carine,G,38250,0,G Above-the-line Votes,Pauline Hanson's One Nation,17
WA,242,Moore,7565,Carine,G,37393,1,"FILING, Paul Anthony",Pauline Hanson's One Nation,4
WA,242,Moore,7565,Carine,G,37413,2,"MUNDY, Sheila",Pauline Hanson's One Nation,0
WA,242,Moore,7565,Carine,H,38258,0,H Above-the-line Votes,Socialist Alliance,4
WA,242,Moore,7565,Carine,H,37735,1,"HARLEY, Petrina",Socialist Alliance,2
WA,242,Moore,7565,Carine,H,37739,2,"SALMON, Alex",Socialist Alliance,0
WA,242,Moore,7565,Carine,I,38259,0,I Above-the-line Votes,Legalise Cannabis Australia,29
WA,242,Moore,7565,Carine,I,37658,1,"JOHNSON, Nicola Julia",Legalise Cannabis Australia,4
WA,242,Moore,7565,Carine,I,37664,2,"PEET, Aaron",Legalise Cannabis Australia,0
WA,242,Moore,7565,Carine,J,38245,0,J Above-the-line Votes,The Great Australian Party,6
WA,242,Moore,7565,Carine,J,37133,1,"CULLETON, Rodney Norman",The Great Australian Party,2
WA,242,Moore,7565,Carine,J,37135,2,"VINCI, Samantha Lee",The Great Australian Party,0
WA,242,Moore,7565,Carine,K,38246,0,K Above-the-line Votes,,1
WA,242,Moore,7565,Carine,K,37473,1,"GEORGATOS, Gerry",,0
WA,242,Moore,7565,Carine,K,37487,2,"KRAKOUER, Megan",,0
WA,242,Moore,7565,Carine,L,38249,0,L Above-the-line Votes,Liberal Democrats,29
WA,242,Moore,7565,Carine,L,37125,1,"FANTINEL, Kate",Liberal Democrats,1
WA,242,Moore,7565,Carine,L,37129,2,"McLOUGHLIN, Peter",Liberal Democrats,0
WA,242,Moore,7565,Carine,M,38252,0,M Above-the-line Votes,Informed Medical Options Party,4
WA,242,Moore,7565,Carine,M,37475,1,"KINSELLA, Michelle",Informed Medical Options Party,0
WA,242,Moore,7565,Carine,M,37483,2,"LOCKYER, Leanne",Informed Medical Options Party,0
WA,242,Moore,7565,Carine,N,38255,0,N Above-the-line Votes,Australian Values Party,0
WA,242,Moore,7565,Carine,N,37463,1,"PIZZEY, Rebecca",Australian Values Party,0
WA,242,Moore,7565,Carine,N,37467,2,"FITZPATRICK, Kathy",Australian Values Party,0
WA,242,Moore,7565,Carine,O,38262,0,O Above-the-line Votes,Animal Justice Party,6
WA,242,Moore,7565,Carine,O,37797,1,"DORN, Amanda",Animal Justice Party,0
WA,242,Moore,7565,Carine,O,37801,2,"McCASKER, Elizabeth Gay",Animal Justice Party,0
WA,242,Moore,7565,Carine,P,38253,0,P Above-the-line Votes,,0
WA,242,Moore,7565,Carine,P,37643,1,"TINLEY, Cam",,0
WA,242,Moore,7565,Carine,P,37651,2,"AYRE, Tricia",,0
WA,242,Moore,7565,Carine,Q,38247,0,Q Above-the-line Votes,Australian Federation Party,2
WA,242,Moore,7565,Carine,Q,37081,1,"WILYMAN, Judy",Australian Federation Party,0
WA,242,Moore,7565,Carine,Q,37087,2,"BARRETT, Leanne",Australian Federation Party,0
WA,242,Moore,7565,Carine,R,38241,0,R Above-the-line Votes,Liberal,510
WA,242,Moore,7565,Carine,R,37554,1,"CASH, Michaelia",Liberal,5
WA,242,Moore,7565,Carine,R,37558,2,"SMITH, Dean",Liberal,1
WA,242,Moore,7565,Carine,R,37560,3,"SMALL, Ben",Liberal,1
WA,242,Moore,7565,Carine,R,37565,4,"SUFI, Sherry",Liberal,0
WA,242,Moore,7565,Carine,S,38248,0,S Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",3
WA,242,Moore,7565,Carine,S,37095,1,"VILJOEN, Tim","FUSION: Science, Pirate, Secular, Climate Emergency",0
WA,242,Moore,7565,Carine,S,37096,2,"WOODINGS, Adam","FUSION: Science, Pirate, Secular, Climate Emergency",0
WA,242,Moore,7565,Carine,T,38261,0,T Above-the-line Votes,WESTERN AUSTRALIA PARTY,18
WA,242,Moore,7565,Carine,T,37745,1,"McDOWALL, Matthew",WESTERN AUSTRALIA PARTY,1
WA,242,Moore,7565,Carine,T,37746,2,"MATHESON, Julie",WESTERN AUSTRALIA PARTY,0
WA,242,Moore,7565,Carine,U,38254,0,U Above-the-line Votes,Citizens Party,1
WA,242,Moore,7565,Carine,U,37533,1,"BRAILEY, Denise",Citizens Party,0
WA,242,Moore,7565,Carine,U,37539,2,"ROBINSON, Jean",Citizens Party,0
WA,242,Moore,7565,Carine,V,38257,0,V Above-the-line Votes,Federal ICAC Now,3
WA,242,Moore,7565,Carine,V,37535,1,"COUNT, Matthew",Federal ICAC Now,0
WA,242,Moore,7565,Carine,V,37542,2,"WATKINS, Dianne",Federal ICAC Now,0
WA,242,Moore,7565,Carine,UG,37590,1,"MURPHY, Ziggi",Independent,0
WA,242,Moore,7565,Carine,UG,37786,2,"BUCKLE, Ashley",Independent,0
WA,242,Moore,7565,Carine,UG,37741,3,"McDONALD, Peter Robert",Independent,1
WA,242,Moore,7565,Carine,UG,37072,4,"VAGH, Yunous",Independent,0
WA,242,Moore,7565,Carine,UG,37756,5,"BURDETT, Bob",Seniors United Party of Australia,0
