2016 Federal Election Senate First Preferences By Polling Place for Division 238 [Event:20499 Phase:FinalResults Generated:2017-05-11T17:39:30 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,238,Curtin,7591,City Beach,A,29822,0,A Ticket Votes,Christian Democratic Party (Fred Nile Group),2
WA,238,Curtin,7591,City Beach,A,29437,1,"IMISIDES, Mark David",Christian Democratic Party (Fred Nile Group),0
WA,238,Curtin,7591,City Beach,A,29440,2,"READ, Philip Campbell",Christian Democratic Party (Fred Nile Group),0
WA,238,Curtin,7591,City Beach,B,29803,0,B Ticket Votes,"Shooters, Fishers and Farmers",4
WA,238,Curtin,7591,City Beach,B,28400,1,"SKERRITT, Andrew","Shooters, Fishers and Farmers",0
WA,238,Curtin,7591,City Beach,B,28401,2,"WILLIAMSON, Ross","Shooters, Fishers and Farmers",0
WA,238,Curtin,7591,City Beach,C,29812,0,C Ticket Votes,Nick Xenophon Team,24
WA,238,Curtin,7591,City Beach,C,28527,1,"BOLTON, Luke",Nick Xenophon Team,2
WA,238,Curtin,7591,City Beach,C,28528,2,"BOVELL, Michael",Nick Xenophon Team,1
WA,238,Curtin,7591,City Beach,D,29808,0,D Ticket Votes,Australian Labor Party,155
WA,238,Curtin,7591,City Beach,D,28516,1,"LINES, Sue",Australian Labor Party,5
WA,238,Curtin,7591,City Beach,D,28517,2,"STERLE, Glenn",Australian Labor Party,2
WA,238,Curtin,7591,City Beach,D,28518,3,"DODSON, Patrick",Australian Labor Party,1
WA,238,Curtin,7591,City Beach,D,28519,4,"PRATT, Louise",Australian Labor Party,4
WA,238,Curtin,7591,City Beach,D,28520,5,"REED, Mark",Australian Labor Party,2
WA,238,Curtin,7591,City Beach,D,28521,6,"BOWERS, Susan",Australian Labor Party,0
WA,238,Curtin,7591,City Beach,D,28522,7,"ONORATO, Mia",Australian Labor Party,0
WA,238,Curtin,7591,City Beach,E,29797,0,E Ticket Votes,Citizens Electoral Council,1
WA,238,Curtin,7591,City Beach,E,28098,1,"ROBINSON, Jean",Citizens Electoral Council,0
WA,238,Curtin,7591,City Beach,E,28099,2,"SUDHOLZ, Judy",Citizens Electoral Council,0
WA,238,Curtin,7591,City Beach,F,29817,0,F Ticket Votes,The Nationals,4
WA,238,Curtin,7591,City Beach,F,29189,1,"MUIR, Kado",The Nationals,0
WA,238,Curtin,7591,City Beach,F,29190,2,"FARDELL, Nick",The Nationals,0
WA,238,Curtin,7591,City Beach,F,29191,3,"RE, Elizabeth",The Nationals,1
WA,238,Curtin,7591,City Beach,G,29804,0,G Ticket Votes,Socialist Alliance,0
WA,238,Curtin,7591,City Beach,G,28341,1,"EMANUEL, Kamala",Socialist Alliance,0
WA,238,Curtin,7591,City Beach,G,28342,2,"DOHERTY, Seamus",Socialist Alliance,0
WA,238,Curtin,7591,City Beach,G,28343,3,"IQBAL, Farida",Socialist Alliance,0
WA,238,Curtin,7591,City Beach,H,29824,0,H Ticket Votes,Derryn Hinch's Justice Party,3
WA,238,Curtin,7591,City Beach,H,29604,1,"HIDE, Nicki",Derryn Hinch's Justice Party,1
WA,238,Curtin,7591,City Beach,H,29605,2,"HIGGINS, Rachael",Derryn Hinch's Justice Party,0
WA,238,Curtin,7591,City Beach,I,29818,0,I Ticket Votes,Palmer United Party,0
WA,238,Curtin,7591,City Beach,I,29193,1,"WANG, Zhenya Dio",Palmer United Party,0
WA,238,Curtin,7591,City Beach,I,29194,2,"KRUGER, Jacque",Palmer United Party,0
WA,238,Curtin,7591,City Beach,J,29800,0,J Ticket Votes,The Greens (WA),132
WA,238,Curtin,7591,City Beach,J,28246,1,"LUDLAM, Scott",The Greens (WA),12
WA,238,Curtin,7591,City Beach,J,28247,2,"SIEWERT, Rachel",The Greens (WA),3
WA,238,Curtin,7591,City Beach,J,28248,3,"STEELE-JOHN, Jordon",The Greens (WA),0
WA,238,Curtin,7591,City Beach,J,28249,4,"JENKINSON, Samantha",The Greens (WA),0
WA,238,Curtin,7591,City Beach,J,28250,5,"BALDOCK, Michael",The Greens (WA),0
WA,238,Curtin,7591,City Beach,J,28251,6,"ISMAIL, Rai",The Greens (WA),0
WA,238,Curtin,7591,City Beach,K,29815,0,K Ticket Votes,Animal Justice Party,9
WA,238,Curtin,7591,City Beach,K,28831,1,"LOVE, Katrina",Animal Justice Party,0
WA,238,Curtin,7591,City Beach,K,28834,2,"SUTTON, Alicia",Animal Justice Party,0
WA,238,Curtin,7591,City Beach,L,29801,0,L Ticket Votes,Mature Australia,0
