2022 Federal Election Senate First Preferences By Polling Place for Division 138 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:26 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,138,Page,480,Karangi,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,1
NSW,138,Page,480,Karangi,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,0
NSW,138,Page,480,Karangi,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,138,Page,480,Karangi,P,37985,0,P Above-the-line Votes,The Great Australian Party,1
NSW,138,Page,480,Karangi,P,37446,1,"HOPKINS, Matthew",The Great Australian Party,0
NSW,138,Page,480,Karangi,P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,138,Page,480,Karangi,Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,14
NSW,138,Page,480,Karangi,Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,1
NSW,138,Page,480,Karangi,Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,138,Page,480,Karangi,R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",2
NSW,138,Page,480,Karangi,R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,138,Page,480,Karangi,R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,138,Page,480,Karangi,S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,28
NSW,138,Page,480,Karangi,S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,0
NSW,138,Page,480,Karangi,S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,0
NSW,138,Page,480,Karangi,S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,0
NSW,138,Page,480,Karangi,T,37970,0,T Above-the-line Votes,Liberal Democrats,5
NSW,138,Page,480,Karangi,T,36414,1,"RUDDICK, John",Liberal Democrats,2
NSW,138,Page,480,Karangi,T,36418,2,"LARTER, John",Liberal Democrats,0
NSW,138,Page,480,Karangi,T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,138,Page,480,Karangi,T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,138,Page,480,Karangi,U,37982,0,U Above-the-line Votes,Australian Values Party,0
NSW,138,Page,480,Karangi,U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,138,Page,480,Karangi,U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,138,Page,480,Karangi,V,37978,0,V Above-the-line Votes,Labor,41
NSW,138,Page,480,Karangi,V,37168,1,"O'NEILL, Deborah",Labor,4
NSW,138,Page,480,Karangi,V,37173,2,"McALLISTER, Jenny",Labor,0
NSW,138,Page,480,Karangi,V,37180,3,"MORRIS, Shireen",Labor,0
NSW,138,Page,480,Karangi,V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,0
NSW,138,Page,480,Karangi,V,37183,5,"ROSE, Kylie Anne",Labor,0
NSW,138,Page,480,Karangi,V,37185,6,"WARREN-SMITH, James",Labor,0
NSW,138,Page,480,Karangi,W,37967,0,W Above-the-line Votes,UAP,9
NSW,138,Page,480,Karangi,W,36373,1,"MARTINO, Domenic Vincent",United Australia Party,0
NSW,138,Page,480,Karangi,W,36378,2,"WRIGHTSON, Suellen",United Australia Party,0
NSW,138,Page,480,Karangi,W,36380,3,"MOORE, Wayne Leslie",United Australia Party,0
NSW,138,Page,480,Karangi,W,36383,4,"MARTIN, Michelle",United Australia Party,0
NSW,138,Page,480,Karangi,W,36386,5,"YAP, Johnny",United Australia Party,0
NSW,138,Page,480,Karangi,W,36390,6,"LOUGHREY, Kevin Andrew",United Australia Party,0
NSW,138,Page,480,Karangi,UG,37600,1,"LIM, Danny",Independent,0
NSW,138,Page,480,Karangi,UG,37603,2,"COLLINS, Julie",Independent,1
NSW,138,Page,480,Karangi,UG,37639,3,"GRZIC, Warren",Independent,0
NSW,138,Page,480,Karangi,UG,37632,4,"LU, Guitang",Independent,0
NSW,138,Page,480,Karangi,UG,36068,5,"LAING, William",Independent,0
NSW,138,Page,480,Karangi,ZZ,0,99,INFORMAL,,13
NSW,138,Page,2043,Alstonville,A,37972,0,A Above-the-line Votes,Animal Justice Party,35
NSW,138,Page,2043,Alstonville,A,36425,1,"BROLLO, Darren",Animal Justice Party,1
NSW,138,Page,2043,Alstonville,A,36430,2,"POWER, Julie",Animal Justice Party,0
NSW,138,Page,2043,Alstonville,B,37966,0,B Above-the-line Votes,TNL,5
NSW,138,Page,2043,Alstonville,B,36771,1,"KEEN, Steve",TNL,2
NSW,138,Page,2043,Alstonville,B,36773,2,"GREEN, Melissa",TNL,1
NSW,138,Page,2043,Alstonville,C,37976,0,C Above-the-line Votes,Citizens Party,5
NSW,138,Page,2043,Alstonville,C,37147,1,"LIU, Kingsley",Citizens Party,2
NSW,138,Page,2043,Alstonville,C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,138,Page,2043,Alstonville,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,7
NSW,138,Page,2043,Alstonville,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
NSW,138,Page,2043,Alstonville,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,138,Page,2043,Alstonville,E,37968,0,E Above-the-line Votes,The Greens,278
NSW,138,Page,2043,Alstonville,E,36581,1,"SHOEBRIDGE, David",The Greens,13
NSW,138,Page,2043,Alstonville,E,36585,2,"COHN, Amanda",The Greens,2
NSW,138,Page,2043,Alstonville,E,36634,3,"FLOOD, Rochelle",The Greens,0
NSW,138,Page,2043,Alstonville,E,36637,4,"SCOTT, Jane",The Greens,1
NSW,138,Page,2043,Alstonville,E,36639,5,"ARYA, Hawa",The Greens,0
NSW,138,Page,2043,Alstonville,E,36638,6,"WHEELER, Danielle",The Greens,0
NSW,138,Page,2043,Alstonville,F,37969,0,F Above-the-line Votes,,0
NSW,138,Page,2043,Alstonville,F,37143,1,"BODDY, Max",,0
NSW,138,Page,2043,Alstonville,F,37145,2,"GRENFELL, Oscar",,0
NSW,138,Page,2043,Alstonville,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",540
NSW,138,Page,2043,Alstonville,G,37567,1,"PAYNE, Marise",Liberal,15
NSW,138,Page,2043,Alstonville,G,37576,2,"CADELL, Ross",The Nationals,0
NSW,138,Page,2043,Alstonville,G,37577,3,"MOLAN, Jim",Liberal,2
NSW,138,Page,2043,Alstonville,G,37578,4,"PENFOLD, Alison Louise",The Nationals,3
NSW,138,Page,2043,Alstonville,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,138,Page,2043,Alstonville,G,37584,6,"McGAHEY, Vicky",Liberal,0
NSW,138,Page,2043,Alstonville,H,37981,0,H Above-the-line Votes,Reason Australia,5
NSW,138,Page,2043,Alstonville,H,37396,1,"CARO, Jane",Reason Australia,5
NSW,138,Page,2043,Alstonville,H,37397,2,"MAHER, Hannah Kate",Reason Australia,1
NSW,138,Page,2043,Alstonville,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,138,Page,2043,Alstonville,I,37987,0,I Above-the-line Votes,Socialist Alliance,1
NSW,138,Page,2043,Alstonville,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,138,Page,2043,Alstonville,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,138,Page,2043,Alstonville,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,138,Page,2043,Alstonville,J,37988,0,J Above-the-line Votes,Federal ICAC Now,11
NSW,138,Page,2043,Alstonville,J,37478,1,"JONES, Ross",Federal ICAC Now,1
NSW,138,Page,2043,Alstonville,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,1
NSW,138,Page,2043,Alstonville,K,37977,0,K Above-the-line Votes,Australian Democrats,7
NSW,138,Page,2043,Alstonville,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,138,Page,2043,Alstonville,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,138,Page,2043,Alstonville,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
